id,ra,dec,ra_mag,dec_mag
15057723,3.912666,80.45475,3.997911,80.446388
15057724,3.903406,80.461555,3.988726,80.452957
15057725,3.788505,80.43988,3.875136,80.431786
15057726,3.834994,80.442268,3.921647,80.434189
15057727,3.737166,80.371979,3.824914,80.36438
15057728,4.654028,80.447159,4.741546,80.440308
15057729,4.469338,80.429443,4.55071,80.42186
15057730,4.562302,80.427597,4.644246,80.420448
15057731,4.165578,80.465836,4.251758,80.457314
15057732,4.085338,80.480362,4.171617,80.471748
15057733,4.162752,80.466675,4.248606,80.458061
15057734,4.169318,80.466248,4.25543,80.457756
15057735,4.56312,80.532738,4.66032,80.524811
15057736,4.315368,80.457619,4.39996,80.449509
15057737,4.557166,80.443665,4.640768,80.436584
15057738,4.563364,80.442429,4.647089,80.435333
15057739,4.401389,80.435753,4.484251,80.427704
15057740,4.288285,80.398582,4.369748,80.391487
15057741,4.328461,80.384682,4.409677,80.37767
28546,5.152554,80.668633,5.25523,80.659729
28547,5.155624,80.666153,5.258458,80.657135
28548,5.368822,80.697121,5.470532,80.687721
28549,5.220651,80.683189,5.32257,80.674004
28550,5.394946,80.642815,5.494939,80.63488
28551,5.12528,80.535034,5.222522,80.527122
28552,5.323243,80.519104,5.425521,80.510612
28553,4.799405,80.478706,4.89587,80.470673
28554,5.006423,80.705238,5.110075,80.695656
28555,5.042111,80.705383,5.145765,80.695801
28556,5.026487,80.696663,5.130362,80.687241
28557,5.09063,80.687073,5.193542,80.677803
28558,5.079583,80.679306,5.182502,80.670349
28559,5.138056,80.648018,5.240363,80.639709
28560,5.151611,80.652756,5.254039,80.644218
28561,5.02611,80.722229,5.12946,80.712486
28562,5.041281,80.727821,5.144316,80.717857
28563,5.056428,80.736603,5.158754,80.726555
28564,0.088796,80.274414,0.1684,80.260147
28565,0.077472,80.248291,0.159078,80.233574
28566,0.27711,80.262962,0.353882,80.2481
12127948,28.938175,81.316376,29.05514,81.304565
12127949,29.110374,81.533737,29.234785,81.522736
12127950,29.609335,81.505791,29.737083,81.495064
12127951,29.136143,81.447098,29.253412,81.436249
12127952,29.160006,81.450348,29.277321,81.439461
12127953,29.034559,81.436424,29.147667,81.425018
12127954,28.358051,81.515495,28.480364,81.503899
12127955,28.651594,81.431335,28.76631,81.420006
12127956,28.844622,81.417763,28.957996,81.406418
12127957,28.769405,81.347336,28.882889,81.336929
12127958,27.933357,81.413895,28.051388,81.402214
12127959,28.206053,81.403023,28.321894,81.391624
12127960,26.044039,81.336403,26.185669,81.326843
12127961,26.038679,81.334114,26.180626,81.324577
12127962,26.415739,81.369537,26.549585,81.359344
12127963,26.215969,81.335815,26.355837,81.326363
12127964,25.618477,81.301483,25.76865,81.291733
12127965,25.618382,81.30146,25.768648,81.291672
12127966,25.613998,81.299507,25.764854,81.289825
12127967,25.878565,81.330193,26.020744,81.320366
12127968,25.659376,81.293083,25.808023,81.283371
